1435 51 217
1436 62 308
1437 75 435
1438 90 604
1439 107 821
1440 33 129
1441 34 130
1442 37 137
1443 42 156
1444 49 193
1445 58 254
1446 69 345
1447 82 472
1448 97 641
1449 114 858
1450 42 190
1451 43 191
1452 46 198
1453 51 217
1454 58 254
1455 67 315
1456 78 406
1457 91 533
1458 106 702
1459 123 919
1460 53 281
1461 54 282
1462 57 289
1463 62 308
1464 69 345
1465 78 406
1466 89 497
1467 102 624
1468 117 793
1469 134 1010
1470 66 408
1471 67 409
1472 70 416
1473 75 435
1474 82 472
1475 91 533
1476 102 624
1477 115 751
1478 130 920
1479 147 1137
1480 81 577
1481 82 578
1482 85 585
1483 90 604
1484 97 641
1485 106 702
1486 117 793
1487 130 920
1488 145 1089
1489 162 1306
1490 98 794
1491 99 795
1492 102 802
1493 107 821
1494 114 858
1495 123 919
1496 134 1010
1497 147 1137
1498 162 1306
1499 179 1523
1500 26 126
1501 27 127
1502 30 134
1503 35 153
1504 42 190
1505 51 251
1506 62 342
1507 75 469
1508 90 638
1509 107 855
1510 27 127
1511 28 128
1512 31 135
1513 36 154
1514 43 191
1515 52 252
1516 63 343
1517 76 470
1518 91 639
1519 108 856
1520 30 134
1521 31 135
1522 34 142
1523 39 161
1524 46 198
1525 55 259
1526 66 350
1527 79 477
1528 94 646
1529 111 863
1530 35 153
1531 36 154
1532 39 161
1533 44 180
1534 51 217
1535 60 278
1536 71 369
1537 84 496
1538 99 665
1539 116 882
1540 42 190
1541 43 191
1542 46 198
1543 51 217
1544 58 254
1545 67 315
1546 78 406
1547 91 533
1548 106 702
1549 123 919
1550 51 251
1551 52 252
1552 55 259
1553 60 278
1554 67 315
1555 76 376
1556 87 467
1557 100 594
1558 115 763
1559 132 980
1560 62 342
1561 63 343
1562 66 350
1563 71 369
1564 78 406
1565 87 467
1566 98 558
1567 111 685
1568 126 854
1569 143 1071
1570 75 469
1571 76 470
1572 79 477
1573 84 496
1574 91 533
1575 100 594
1576 111 685
1577 124 812
1578 139 981
1579 156 1198
1580 90 638
1581 91 639
1582 94 646
1583 99 665
1584 106 702
1585 115 763
1586 126 854
1587 139 981
1588 154 1150
1589 171 1367
1590 107 855
1591 108 856
1592 111 863
1593 116 882
1594 123 919
1595 132 980
1596 143 1071
1597 156 1198
1598 171 1367
1599 188 1584
1600 37 217
1601 38 218
1602 41 225
1603 46 244
1604 53 281
1605 62 342
1606 73 433
1607 86 560
1608 101 729
1609 118 946
1610 38 218
1611 39 219
1612 42 226
1613 47 245
1614 54 282
1615 63 343
1616 74 434
1617 87 561
1618 102 730
1619 119 947
1620 41 225
1621 42 226
1622 45 233
1623 50 252
1624 57 289
1625 66 350
1626 77 441
1627 90 568
1628 105 737
1629 122 954
1630 46 244
1631 47 245
1632 50 252
1633 55 271
1634 62 308
1635 71 369
1636 82 460
1637 95 587
1638 110 756
1639 127 973
1640 53 281
1641 54 282
1642 57 289
1643 62 308
1644 69 345
1645 78 406
1646 89 497
1647 102 624
1648 117 793
1649 134 1010
1650 62 342
1651 63 343
1652 66 350
1653 71 369
1654 78 406
1655 87 467
1656 98 558
1657 111 685
1658 126 854
1659 143 1071
1660 73 433
1661 74 434
1662 77 441
1663 82 460
1664 89 497
1665 98 558
1666 109 649
1667 122 776
1668 137 945
1669 154 1162
1670 86 560
1671 87 561
1672 90 568
1673 95 587
1674 102 624
1675 111 685
1676 122 776
1677 135 903
1678 150 1072
1679 167 1289
1680 101 729
1681 102 730
1682 105 737
1683 110 756
1684 117 793
1685 126 854
1686 137 945
1687 150 1072
1688 165 1241
1689 182 1458
1690 118 946
1691 119 947
1692 122 954
1693 127 973
1694 134 1010
1695 143 1071
1696 154 1162
1697 167 1289
1698 182 1458
1699 199 1675
1700 50 344
1701 51 345
1702 54 352
1703 59 371
1704 66 408
1705 75 469
1706 86 560
1707 99 687
1708 114 856
1709 131 1073
1710 51 345
1711 52 346
1712 55 353
1713 60 372
1714 67 409
1715 76 470
1716 87 561
1717 100 688
1718 115 857
1719 132 1074
1720 54 352
1721 55 353
1722 58 360
1723 63 379
1724 70 416
1725 79 477
1726 90 568
1727 103 695
1728 118 864
1729 135 1081
1730 59 371
1731 60 372
1732 63 379
1733 68 398
1734 75 435
1735 84 496
1736 95 587
1737 108 714
1738 123 883
1739 140 1100
1740 66 408
1741 67 409
1742 70 416
1743 75 435
1744 82 472
1745 91 533
1746 102 624
1747 115 751
1748 130 920
1749 147 1137
1750 75 469
1751 76 470
1752 79 477
1753 84 496
1754 91 533
1755 100 594
1756 111 685
1757 124 812
1758 139 981
1759 156 1198
1760 86 560
1761 87 561
1762 90 568
1763 95 587
1764 102 624
1765 111 685
1766 122 776
1767 135 903
1768 150 1072
1769 167 1289
1770 99 687
1771 100 688
1772 103 695
1773 108 714
1774 115 751
1775 124 812
1776 135 903
